"date","tests_rate","tests_rate_lower","tests_rate_upper","tests_rate_daily","tests_rate_daily_lower","tests_rate_daily_upper","cases_rate","cases_rate_lower","cases_rate_upper","cases_rate_daily","cases_rate_daily_lower","cases_rate_daily_upper","mort","icu","hosp","cases","cases_week_avg","positives","tests","people_vaccinated","people_fully_vaccinated","total_vaccinations","total_distributed"
2020-04-03,0.0823686553873553,0.0743544078361532,0.0906055209260908,0.0545645330535152,0.0409233997901364,0.0692549842602309,0.0782647584973166,0.070438282647585,0.0863148479427549,0.0455508474576271,0.0328389830508475,0.0593220338983051,5,NA,NA,43,50,52,953,NA,NA,NA,NA
2020-04-04,0.0792844522968198,0.0715547703180212,0.0872349823321555,0.0598591549295775,0.0352112676056338,0.0880281690140845,0.0754047460634287,0.0678642714570858,0.083166999334664,0.0531914893617021,0.0283687943262411,0.0815602836879433,4,NA,NA,15,48.5714285714286,17,284,NA,NA,NA,NA
2020-04-05,0.0773456383212481,0.0696550208745331,0.0852559876950121,0.0654205607476635,0.0186915887850467,0.11214953271028,0.0728637668359461,0.0653565908589093,0.0805917421064253,0.029126213592233,0,0.0679611650485437,2,NA,NA,3,47.1428571428571,7,107,NA,NA,NA,NA
2020-04-06,0.0686631016042781,0.0616042780748663,0.0759358288770054,0.0705445544554455,0.0532178217821782,0.0891089108910891,0.061233290211298,0.0543337645536869,0.068132815868909,0.0565326633165829,0.0414572864321608,0.0728643216080402,3,NA,NA,45,40.5714285714286,57,808,NA,NA,NA,NA
2020-04-07,0.0605567973989027,0.0540540540540541,0.0672627514732778,0.047008547008547,0.0341880341880342,0.0608974358974359,0.0530520278574355,0.0469070053256862,0.0594018844735764,0.0346320346320346,0.0238095238095238,0.0465367965367965,3,NA,NA,32,37,44,936,NA,NA,NA,NA
2020-04-08,0.0541606142353185,0.0479352562772359,0.0605934841253372,0.0488081725312145,0.0351872871736663,0.0635641316685585,0.0444444444444444,0.0387840670859539,0.050314465408805,0.0300925925925926,0.0196759259259259,0.0416666666666667,3,19,NA,26,30.2857142857143,43,881,NA,NA,NA,NA
2020-04-09,0.0522326915198689,0.0460876689881196,0.0585825481360098,0.0504201680672269,0.0367647058823529,0.0651260504201681,0.0414336026517506,0.0358400662937642,0.0472343070229957,0.0382978723404255,0.0265957446808511,0.051063829787234,4,25,NA,36,28.5714285714286,48,952,NA,NA,NA,NA
2020-04-10,0.051025390625,0.04443359375,0.057861328125,0.0411764705882353,0.0117647058823529,0.0705882352941176,0.0395354583642204,0.0336051396095874,0.0457128737336299,0.0180722891566265,0,0.0421686746987952,6,29,NA,3,22.8571428571429,7,170,NA,NA,NA,NA
2020-04-11,0.0518902891030393,0.0452186805040771,0.0588089943167779,0.0698689956331878,0.0393013100436681,0.104803493449782,0.039549436795995,0.0335419274092616,0.0458072590738423,0.0575221238938053,0.0309734513274336,0.0884955752212389,3,45,NA,13,22.5714285714286,16,229,NA,NA,NA,NA
2020-04-12,0.0521419828641371,0.0455324357405141,0.0589963280293758,0.0503597122302158,0.0143884892086331,0.0863309352517986,0.0394443066236666,0.0334904490200943,0.0456462416273877,0.0294117647058824,0.00735294117647059,0.0588235294117647,0,41,NA,4,22.7142857142857,7,139,NA,NA,NA,NA
2020-04-13,0.0525681215336388,0.0458162527128044,0.0595611285266458,0.0658198614318707,0.0496535796766744,0.0831408775981524,0.0344064880806095,0.0289997542393709,0.0400589825509953,0.0311377245508982,0.0203592814371257,0.0431137724550898,6,52,NA,26,20,57,866,NA,NA,NA,NA
2020-04-14,0.0531286894923259,0.046517119244392,0.0599763872491145,0.0524271844660194,0.0388349514563107,0.0660194174757282,0.0311669485382943,0.0260932592413626,0.0364822420874607,0.0210631895687061,0.0130391173520562,0.0300902708124373,3,31,NA,21,18.4285714285714,54,1030,NA,NA,NA,NA
2020-04-15,0.053393665158371,0.0468325791855204,0.0601809954751131,0.0473537604456825,0.0352831940575673,0.0603528319405757,0.0305838739573679,0.0254865616311399,0.0359128822984245,0.0274881516587678,0.0180094786729858,0.037914691943128,4,45,NA,29,18.8571428571429,51,1077,NA,NA,NA,NA
2020-04-16,0.0537586437653357,0.0472897613205443,0.0604505911220165,0.0536062378167641,0.0399610136452242,0.0682261208576998,0.0286237691779253,0.0238149759560339,0.0336615525532402,0.029,0.019,0.04,4,36,163,29,17.8571428571429,55,1026,NA,NA,NA,NA
2020-04-17,0.0498517420311342,0.0441067457375834,0.0557820607857672,0.0347666971637694,0.0247026532479414,0.0457456541628545,0.0276882230229471,0.0233263796700171,0.032239711739048,0.0222428174235403,0.0139017608897127,0.0315106580166821,2,44,165,24,20.8571428571429,38,1093,NA,NA,NA,NA
2020-04-18,0.048059807760769,0.0425418298326807,0.0537557849768601,0.0411255411255411,0.0238095238095238,0.0606060606060606,0.0262199563000728,0.0220320466132556,0.0305899490167516,0.0242290748898678,0.0110132158590308,0.039647577092511,2,43,168,11,20.5714285714286,19,462,NA,NA,NA,NA
